Statename,FIPS,Date,Days_from_Ref,RelativeMobility,CumulativeMobility,Actual-Predict,FatalityRA,CumFatality_Stayput,SchoolOpenNow1%,SchoolOpenNow2%,MaskMandate25%,MaskMandate50%,Shutdown1week,Shutdown2week,Population
New York,36,2020-1-22,-67,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-22,-72,,,Actual,,,,,,,,,305506
US,0,2020-1-22,-72,,,Actual,0,0,,,,,,,0
New York,36,2020-1-23,-66,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-23,-71,,,Actual,,,,,,,,,305506
US,0,2020-1-23,-71,,,Actual,0,0,,,,,,,0
New York,36,2020-1-24,-65,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-24,-70,,,Actual,,,,,,,,,305506
US,0,2020-1-24,-70,,,Actual,0,0,,,,,,,0
New York,36,2020-1-25,-64,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-25,-69,,,Actual,,,,,,,,,305506
US,0,2020-1-25,-69,,,Actual,0,0,,,,,,,0
New York,36,2020-1-26,-63,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-26,-68,,,Actual,,,,,,,,,305506
US,0,2020-1-26,-68,,,Actual,0,0,,,,,,,0
New York,36,2020-1-27,-62,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-27,-67,,,Actual,,,,,,,,,305506
US,0,2020-1-27,-67,,,Actual,0,0,,,,,,,0
New York,36,2020-1-28,-61,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-28,-66,,,Actual,,,,,,,,,305506
US,0,2020-1-28,-66,,,Actual,0,0,,,,,,,0
New York,36,2020-1-29,-60,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-29,-65,,,Actual,,,,,,,,,305506
US,0,2020-1-29,-65,,,Actual,0,0,,,,,,,0
New York,36,2020-1-30,-59,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-30,-64,,,Actual,,,,,,,,,305506
US,0,2020-1-30,-64,,,Actual,0,0,,,,,,,0
New York,36,2020-1-31,-58,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-1-31,-63,,,Actual,,,,,,,,,305506
US,0,2020-1-31,-63,,,Actual,0,0,,,,,,,0
New York,36,2020-2-1,-57,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-1,-62,,,Actual,,,,,,,,,305506
US,0,2020-2-1,-62,,,Actual,0,0,,,,,,,0
New York,36,2020-2-2,-56,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-2,-61,,,Actual,,,,,,,,,305506
US,0,2020-2-2,-61,,,Actual,0,0,,,,,,,0
New York,36,2020-2-3,-55,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-3,-60,,,Actual,,,,,,,,,305506
US,0,2020-2-3,-60,,,Actual,0,0,,,,,,,0
New York,36,2020-2-4,-54,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-4,-59,,,Actual,,,,,,,,,305506
US,0,2020-2-4,-59,,,Actual,0,0,,,,,,,0
New York,36,2020-2-5,-53,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-5,-58,,,Actual,,,,,,,,,305506
US,0,2020-2-5,-58,,,Actual,0,0,,,,,,,0
New York,36,2020-2-6,-52,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-6,-57,,,Actual,,,,,,,,,305506
US,0,2020-2-6,-57,,,Actual,0,0,,,,,,,0
New York,36,2020-2-7,-51,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-7,-56,,,Actual,,,,,,,,,305506
US,0,2020-2-7,-56,,,Actual,0,0,,,,,,,0
New York,36,2020-2-8,-50,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-8,-55,,,Actual,,,,,,,,,305506
US,0,2020-2-8,-55,,,Actual,0,0,,,,,,,0
New York,36,2020-2-9,-49,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-9,-54,,,Actual,,,,,,,,,305506
US,0,2020-2-9,-54,,,Actual,0,0,,,,,,,0
New York,36,2020-2-10,-48,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-10,-53,,,Actual,,,,,,,,,305506
US,0,2020-2-10,-53,,,Actual,0,0,,,,,,,0
New York,36,2020-2-11,-47,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-11,-52,,,Actual,,,,,,,,,305506
US,0,2020-2-11,-52,,,Actual,0,0,,,,,,,0
New York,36,2020-2-12,-46,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-12,-51,,,Actual,,,,,,,,,305506
US,0,2020-2-12,-51,,,Actual,0,0,,,,,,,0
New York,36,2020-2-13,-45,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-13,-50,,,Actual,,,,,,,,,305506
US,0,2020-2-13,-50,,,Actual,0,0,,,,,,,0
New York,36,2020-2-14,-44,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-14,-49,,,Actual,,,,,,,,,305506
US,0,2020-2-14,-49,,,Actual,0,0,,,,,,,0
New York,36,2020-2-15,-43,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-15,-48,,,Actual,,,,,,,,,305506
US,0,2020-2-15,-48,,,Actual,0,0,,,,,,,0
New York,36,2020-2-16,-42,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-16,-47,,,Actual,,,,,,,,,305506
US,0,2020-2-16,-47,,,Actual,0,0,,,,,,,0
New York,36,2020-2-17,-41,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-17,-46,,,Actual,,,,,,,,,305506
US,0,2020-2-17,-46,,,Actual,0,0,,,,,,,0
New York,36,2020-2-18,-40,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-18,-45,,,Actual,,,,,,,,,305506
US,0,2020-2-18,-45,,,Actual,0,0,,,,,,,0
New York,36,2020-2-19,-39,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-19,-44,,,Actual,,,,,,,,,305506
US,0,2020-2-19,-44,,,Actual,0,0,,,,,,,0
New York,36,2020-2-20,-38,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-20,-43,,,Actual,,,,,,,,,305506
US,0,2020-2-20,-43,,,Actual,0,0,,,,,,,0
New York,36,2020-2-21,-37,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-21,-42,,,Actual,,,,,,,,,305506
US,0,2020-2-21,-42,,,Actual,0,0,,,,,,,0
New York,36,2020-2-22,-36,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-22,-41,,,Actual,,,,,,,,,305506
US,0,2020-2-22,-41,,,Actual,0,0,,,,,,,0
New York,36,2020-2-23,-35,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-23,-40,,,Actual,,,,,,,,,305506
US,0,2020-2-23,-40,,,Actual,0,0,,,,,,,0
New York,36,2020-2-24,-34,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-24,-39,,,Actual,,,,,,,,,305506
US,0,2020-2-24,-39,,,Actual,0,0,,,,,,,0
New York,36,2020-2-25,-33,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-25,-38,,,Actual,,,,,,,,,305506
US,0,2020-2-25,-38,,,Actual,0,0,,,,,,,0
New York,36,2020-2-26,-32,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-26,-37,,,Actual,,,,,,,,,305506
US,0,2020-2-26,-37,,,Actual,0,0,,,,,,,0
New York,36,2020-2-27,-31,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-27,-36,,,Actual,,,,,,,,,305506
US,0,2020-2-27,-36,,,Actual,0,0,,,,,,,0
New York,36,2020-2-28,-30,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-28,-35,,,Actual,,,,,,,,,305506
US,0,2020-2-28,-35,,,Actual,0,0,,,,,,,0
New York,36,2020-2-29,-29,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-2-29,-34,,,Actual,,,,,,,,,305506
US,0,2020-2-29,-34,,,Actual,0,0,,,,,,,0
New York,36,2020-3-1,-28,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-1,-33,,,Actual,,,,,,,,,305506
US,0,2020-3-1,-33,,,Actual,0,0,,,,,,,0
New York,36,2020-3-2,-27,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-2,-32,,,Actual,,,,,,,,,305506
US,0,2020-3-2,-32,,,Actual,0,0,,,,,,,0
New York,36,2020-3-3,-26,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-3,-31,,,Actual,,,,,,,,,305506
US,0,2020-3-3,-31,,,Actual,0,0,,,,,,,0
New York,36,2020-3-4,-25,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-4,-30,,,Actual,,,,,,,,,305506
US,0,2020-3-4,-30,,,Actual,0,0,,,,,,,0
New York,36,2020-3-5,-24,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-5,-29,,,Actual,,,,,,,,,305506
US,0,2020-3-5,-29,,,Actual,0,0,,,,,,,0
New York,36,2020-3-6,-23,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-6,-28,,,Actual,,,,,,,,,305506
US,0,2020-3-6,-28,,,Actual,0,0,,,,,,,0
New York,36,2020-3-7,-22,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-7,-27,,,Actual,,,,,,,,,305506
US,0,2020-3-7,-27,,,Actual,0,0,,,,,,,0
New York,36,2020-3-8,-21,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-8,-26,,,Actual,,,,,,,,,305506
US,0,2020-3-8,-26,,,Actual,0,0,,,,,,,0
New York,36,2020-3-9,-20,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-9,-25,,,Actual,,,,,,,,,305506
US,0,2020-3-9,-25,,,Actual,0,0,,,,,,,0
New York,36,2020-3-10,-19,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-10,-24,,,Actual,,,,,,,,,305506
US,0,2020-3-10,-24,,,Actual,0,0,,,,,,,0
New York,36,2020-3-11,-18,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-11,-23,,,Actual,,,,,,,,,305506
US,0,2020-3-11,-23,,,Actual,0,0,,,,,,,0
New York,36,2020-3-12,-17,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-12,-22,,,Actual,,,,,,,,,305506
US,0,2020-3-12,-22,,,Actual,0,0,,,,,,,0
New York,36,2020-3-13,-16,,,Actual,,,,,,,,,26161672
